"","mock1","mock2","mock3","hrcc1","hrcc2","hrcc3"
"AT1G05790",31,31,16,24,14,37
"AT1G05805",56,48,203,95,65,254
"AT1G05830",25,23,98,66,59,113
"AT1G05840",39,19,47,38,21,75
"AT1G05850",637,562,1666,512,246,1238
"AT1G05860",2,27,34,8,13,35
"AT1G05890",37,50,82,84,40,102
"AT1G05900",12,26,65,19,17,33
"AT1G05910",31,25,80,45,26,142
"AT1G05940",86,71,124,59,43,124
"AT1G05960",63,44,117,74,40,96
"AT1G06000",40,91,496,150,76,581
"AT1G06010",16,27,46,22,3,46
"AT1G06040",690,707,1035,589,432,826
"AT1G06060",45,41,126,40,14,142
"AT1G06070",10,17,40,20,20,53
"AT1G06110",24,12,56,36,5,51
"AT1G06130",21,42,38,38,22,37
"AT1G06160",11,9,43,56,36,75
"AT1G06190",123,180,346,139,74,275
"AT1G06200",87,101,145,81,37,156
"AT1G06210",54,28,57,105,31,86
"AT1G06220",33,43,95,57,36,138
"AT1G06230",198,147,107,247,86,203
"AT1G06240",52,42,159,31,35,86
"AT1G06270",1,20,18,6,18,23
"AT1G06290",57,61,135,103,66,194
"AT1G06380",10,15,11,12,8,19
"AT1G06390",53,171,102,66,136,145
"AT1G06400",71,96,107,106,65,107
"AT1G06410",574,554,241,508,249,285
"AT1G06430",205,171,243,94,74,197
"AT1G06450",17,18,14,22,28,13
"AT1G06460",1135,961,3742,1165,693,2484
"AT1G06470",38,48,92,53,54,88
"AT1G06500",21,25,24,19,4,19
"AT1G06510",11,14,60,25,10,39
"AT1G06515",12,18,51,18,19,42
"AT1G06520",8,24,13,35,20,55
"AT1G06530",302,464,291,447,107,416
"AT1G06550",4,33,43,25,7,65
"AT1G06570",87,58,104,91,74,198
"AT1G06620",45,22,183,315,112,1772
"AT1G06630",8,16,24,14,10,21
"AT1G06640",132,71,267,129,64,304
"AT1G06645",11,15,61,27,11,53
"AT1G06650",172,101,654,223,151,753
"AT1G06670",35,25,89,48,22,67
"AT1G06680",5907,4885,20519,3769,1565,12812
"AT1G06690",67,84,119,36,38,79
"AT1G06700",49,82,118,73,50,103
"AT1G06720",25,26,113,31,19,139
"AT1G06730",30,34,51,18,10,47
"AT1G06760",362,301,475,251,172,532
"AT1G06780",28,36,15,39,43,49
"AT1G06800",0,16,15,20,4,50
"AT1G06820",23,39,68,50,33,71
"AT1G06830",3,17,21,4,20,25
"AT1G06840",7,6,19,28,34,25
"AT1G06850",18,120,18,42,62,38
"AT1G06870",37,31,42,38,43,40
"AT1G06890",82,105,183,121,113,241
"AT1G06900",46,43,82,65,42,91
"AT1G06950",62,123,269,106,62,312
"AT1G06960",13,18,37,10,9,44
"AT1G06980",1,15,3,11,17,1
"AT1G07000",94,24,107,98,54,242
"AT1G07010",43,75,247,26,10,139
"AT1G07020",26,20,66,58,36,103
"AT1G07030",79,39,238,80,55,262
"AT1G07040",226,195,274,276,212,280
"AT1G07050",258,375,203,309,160,153
"AT1G07070",19,10,19,11,14,13
"AT1G07080",228,262,715,280,208,547
"AT1G07090",7,64,17,49,38,19
"AT1G07110",222,169,504,160,55,275
"AT1G07130",18,14,32,44,29,57
"AT1G07135",381,157,206,240,250,567
"AT1G07140",374,340,647,609,345,883
"AT1G07160",0,5,4,19,138,79
"AT1G07170",11,14,13,15,7,7
"AT1G07180",100,31,57,42,12,42
"AT1G07200",24,7,22,15,21,19
"AT1G07210",48,49,108,55,29,146
"AT1G07220",32,39,128,55,66,139
"AT1G07230",78,52,101,149,147,252
"AT1G07240",56,31,120,87,39,148
"AT1G07250",186,180,265,169,78,232
"AT1G07280",266,280,657,282,161,468
"AT1G07310",355,328,866,346,163,980
"AT1G07320",538,537,2355,512,248,1090
"AT1G07350",50,40,46,65,23,81
"AT1G07360",157,166,257,149,89,339
"AT1G07380",11,2,13,14,7,17
"AT1G07390",29,24,18,28,14,30
"AT1G07400",60,38,13,73,43,43
"AT1G07420",98,139,298,140,69,265
"AT1G07430",35,66,31,36,35,31
"AT1G07440",58,78,42,43,8,19
"AT1G07470",24,22,37,31,5,37
"AT1G07480",44,16,17,12,7,32
"AT1G07510",48,44,66,50,13,88
"AT1G07520",25,11,11,21,15,13
"AT1G07530",69,63,103,90,57,122
"AT1G07570",17,14,23,44,16,38
"AT1G07590",2302,2216,3085,1772,1329,3017
"AT1G07610",72,64,23,42,38,44
"AT1G07620",6,0,15,21,20,38
"AT1G07630",31,41,74,101,49,131
"AT1G07640",143,140,438,311,262,467
"AT1G07650",77,96,115,137,65,120
"AT1G07660",12,28,14,21,10,12
"AT1G07670",54,48,78,147,63,181
"AT1G07700",79,65,119,126,67,135
"AT1G07705",33,35,52,49,49,103
"AT1G07720",165,178,180,100,31,81
"AT1G07750",24,24,33,14,7,35
"AT1G07770",111,147,240,152,107,235
"AT1G07790",4,20,17,9,10,7
"AT1G07810",24,4,33,28,23,38
"AT1G07820",38,67,35,23,53,59
"AT1G07830",8,2,17,25,5,31
"AT1G07840",12,30,68,38,17,64
"AT1G07870",11,27,25,43,26,39
"AT1G07890",1001,907,2534,1781,1288,4204
"AT1G07910",28,8,36,11,23,30
"AT1G07920",5,2,29,29,16,24
"AT1G07930",72,89,117,90,45,130
"AT1G07940",77,108,80,80,54,97
"AT1G07950",6,10,29,14,7,41
"AT1G07960",31,18,43,59,48,62
"AT1G07970",9,12,19,24,13,37
"AT1G07980",21,26,33,24,28,58
"AT1G07990",190,160,103,164,61,134
"AT1G08000",35,47,44,42,16,58
"AT1G08010",36,54,47,46,24,54
"AT1G08030",30,38,88,44,42,77
"AT1G08040",56,39,75,35,25,49
"AT1G08050",67,43,220,166,79,698
"AT1G08060",20,21,46,19,18,64
"AT1G08090",8,13,27,56,37,193
"AT1G08110",78,70,157,62,38,93
"AT1G08125",33,39,54,54,15,78
"AT1G08130",13,13,34,34,27,41
"AT1G08160",43,31,54,21,30,75
"AT1G08180",4,25,19,10,7,5
"AT1G08190",283,202,227,174,92,209
"AT1G08200",212,160,501,239,113,415
"AT1G08220",1,2,106,12,7,95
"AT1G08250",34,11,34,25,12,82
"AT1G08315",50,28,67,66,82,133
"AT1G08350",14,7,37,25,6,29
"AT1G08360",115,108,279,158,118,262
"AT1G08370",129,150,307,108,71,483
"AT1G08380",8913,8010,18757,7562,3954,8380
"AT1G08410",16,21,47,44,26,65
"AT1G08420",189,235,123,192,95,157
"AT1G08450",299,217,360,551,158,591
"AT1G08460",70,68,144,51,27,135
"AT1G08465",62,54,140,82,89,116
"AT1G08470",64,44,31,20,14,23
"AT1G08480",83,81,48,98,30,54
"AT1G08490",50,58,94,64,25,94
"AT1G08510",176,168,349,194,123,421
"AT1G08520",265,268,494,206,100,268
"AT1G08530",29,24,84,34,11,70
"AT1G08540",381,375,412,213,86,356
"AT1G08550",440,545,337,310,146,252
"AT1G08570",95,61,94,86,44,72
"AT1G08580",98,127,101,193,119,145
"AT1G08600",33,59,47,56,50,47
"AT1G08610",4,11,14,5,7,18
"AT1G08620",30,26,22,28,22,49
"AT1G08640",54,48,51,53,13,42
"AT1G08650",103,182,463,206,144,355
"AT1G08660",50,27,70,31,14,69
"AT1G08680",49,38,131,81,29,116
"AT1G08700",106,71,360,123,59,494
"AT1G08710",12,17,30,31,3,31
"AT1G08720",30,45,68,52,38,121
"AT1G08750",25,12,136,74,48,132
"AT1G08760",33,15,33,29,19,57
"AT1G08770",8,14,35,33,18,40
"AT1G08780",38,34,42,55,18,42
"AT1G08800",61,83,66,118,73,101
"AT1G08810",29,22,23,24,10,29
"AT1G08820",47,84,109,103,45,202
"AT1G08830",207,183,201,315,202,256
"AT1G08880",104,76,256,176,117,238
"AT1G08890",27,48,70,31,49,44
"AT1G08900",53,16,46,29,24,60
"AT1G08910",25,28,58,54,29,102
"AT1G08920",55,68,33,58,64,87
"AT1G08930",204,143,197,515,211,611
"AT1G08940",25,28,13,71,49,48
"AT1G08960",21,41,57,33,30,52
"AT1G08970",56,89,87,63,23,122
"AT1G08980",182,124,200,125,57,144
"AT1G09010",59,69,124,69,24,97
"AT1G09020",86,122,222,118,102,225
"AT1G09060",51,26,51,50,46,80
"AT1G09070",529,313,334,659,298,1036
"AT1G09080",61,26,23,164,67,90
"AT1G09100",75,41,174,77,64,225
"AT1G09130",361,344,1882,495,243,1678
"AT1G09140",58,53,96,88,38,139
"AT1G09150",51,54,148,44,41,104
"AT1G09160",10,16,30,18,9,36
"AT1G09190",1,11,44,7,3,32
"AT1G09195",14,8,12,13,8,9
"AT1G09200",16,16,19,5,10,32
"AT1G09210",352,282,518,648,306,899
"AT1G09230",55,34,92,46,22,89
"AT1G09240",46,44,120,79,26,147
"AT1G09250",10,30,9,30,21,45
"AT1G09270",90,126,134,182,80,280
"AT1G09280",36,12,61,15,5,46
"AT1G09300",6,10,33,6,10,43
"AT1G09310",2301,2807,4586,1866,833,1479
"AT1G09320",33,8,11,29,8,14
"AT1G09330",30,54,134,77,51,178
"AT1G09340",680,667,1500,319,160,892
"AT1G09350",17,16,44,4,10,17
"AT1G09390",27,17,54,14,26,26
"AT1G09415",31,54,37,38,31,17
"AT1G09430",266,169,262,410,194,541
"AT1G09440",8,1,20,13,7,10
"AT1G09460",8,20,11,10,18,22
"AT1G09490",46,50,80,54,12,71
"AT1G09500",123,102,53,77,41,81
"AT1G09520",34,16,174,32,21,244
"AT1G09530",29,29,65,31,24,87
"AT1G09560",1229,918,2158,2534,1840,8878
"AT1G09570",103,61,80,94,44,99
"AT1G09580",17,12,14,14,6,15
"AT1G09590",152,166,276,244,108,356
"AT1G09620",61,94,177,101,55,226
"AT1G09630",25,15,147,56,19,220
"AT1G09640",279,282,1070,477,227,1630
"AT1G09645",24,16,83,36,25,83
"AT1G09660",37,45,96,33,6,61
"AT1G09690",267,228,199,295,149,287
"AT1G09700",21,111,132,50,46,185
"AT1G09710",3,11,20,4,7,17
"AT1G09730",34,39,39,70,33,88
"AT1G09740",30,35,25,20,18,61
"AT1G09750",202,259,586,61,39,99
"AT1G09760",36,29,35,42,6,49
"AT1G09770",238,339,377,356,122,459
"AT1G09780",156,80,189,218,107,321
"AT1G09795",258,233,251,194,99,208
"AT1G09810",5,7,19,38,10,35
"AT1G09815",58,54,60,109,42,107
"AT1G09830",95,66,178,97,119,167
"AT1G09840",55,92,190,84,49,130
"AT1G09850",62,54,238,64,50,196
"AT1G09870",27,35,73,36,25,76
"AT1G09900",11,22,36,11,4,24
"AT1G09910",25,30,27,21,13,49
"AT1G09920",65,40,72,99,22,116
"AT1G09932",72,25,69,179,138,212
"AT1G09940",129,91,62,133,107,200
"AT1G09950",15,11,18,5,11,24
"AT1G09960",11,16,12,6,2,24
"AT1G09970",1336,1023,1381,3465,1072,5333
"AT1G09980",17,29,48,52,32,61
"AT1G10020",39,17,102,21,18,49
"AT1G10050",66,27,61,79,68,96
"AT1G10060",17,30,28,27,11,14
"AT1G10070",23,10,10,46,8,17
"AT1G10090",62,73,121,106,47,107
"AT1G10095",1506,1180,139,1831,2919,128
"AT1G10120",12,39,42,19,19,24
"AT1G10130",39,24,93,38,24,84
"AT1G10140",113,39,194,344,214,1420
"AT1G10150",62,40,28,53,57,43
"AT1G10170",43,63,106,48,81,144
"AT1G10180",19,48,29,37,6,27
"AT1G10200",138,115,159,128,89,131
"AT1G10210",10,30,16,18,8,12
"AT1G10230",11,12,27,24,6,36
"AT1G10270",22,17,93,42,33,124
"AT1G10290",55,61,134,232,90,360
"AT1G10310",69,36,41,35,38,47
"AT1G10320",92,67,118,95,40,175
"AT1G10340",50,23,55,133,52,143
"AT1G10350",24,26,40,27,7,55
"AT1G10360",35,36,51,13,5,23
"AT1G10370",401,406,444,330,332,392
"AT1G10380",25,32,40,25,26,25
"AT1G10390",160,191,289,172,119,425
"AT1G10410",71,136,135,122,119,237
"AT1G10430",29,7,31,26,25,35
"AT1G10450",31,44,48,41,34,70
"AT1G10470",97,78,263,73,45,256
"AT1G10490",25,39,68,32,10,67
"AT1G10500",152,106,269,114,108,215
"AT1G10510",30,53,61,28,4,46
"AT1G10522",8,30,91,31,3,42
"AT1G10530",0,57,2,17,28,3
"AT1G10570",28,25,32,6,7,38
"AT1G10580",107,133,122,291,128,283
"AT1G10585",286,271,470,1533,449,1146
"AT1G10586",11,2,4,17,10,7
"AT1G10590",132,75,171,148,80,270
"AT1G10600",66,17,57,18,12,47
"AT1G10610",7,25,17,21,13,14
"AT1G10630",79,54,86,79,50,126
"AT1G10650",24,38,22,30,20,35
"AT1G10660",23,28,38,20,30,49
"AT1G10670",109,108,172,134,59,171
"AT1G10682",11,26,18,28,18,20
"AT1G10690",12,4,28,23,20,24
"AT1G10700",90,44,102,149,107,232
"AT1G10720",53,36,63,89,12,74
"AT1G10730",7,13,12,18,0,18
"AT1G10740",39,95,67,58,56,51
"AT1G10760",906,882,2263,770,351,1320
"AT1G10820",55,47,325,71,43,216
"AT1G10830",144,177,171,106,139,164
"AT1G10840",114,122,389,161,133,492
"AT1G10865",49,40,19,65,27,39
"AT1G10870",16,4,25,35,24,42
"AT1G10890",263,346,166,350,129,251
"AT1G10900",92,89,80,180,79,163
"AT1G10910",37,79,132,42,47,75
"AT1G10920",17,18,19,24,5,15
"AT1G10930",7,20,24,29,15,27
"AT1G10940",200,248,202,169,192,205
"AT1G10950",139,108,478,192,122,619
"AT1G10960",768,702,972,382,442,775
"AT1G11000",9,21,1,19,13,0
"AT1G11020",17,16,19,15,19,18
"AT1G11050",19,21,29,43,28,54
"AT1G11060",8,7,14,15,20,28
"AT1G11090",17,11,24,12,11,25
"AT1G11130",27,18,58,11,29,15
"AT1G11150",5,32,43,4,35,26
"AT1G11170",17,22,16,18,15,32
"AT1G11180",31,42,45,18,58,28
"AT1G11200",20,23,35,24,31,61
"AT1G11210",97,70,63,40,23,56
"AT1G11240",81,70,104,66,48,136
"AT1G11260",654,303,416,1045,459,1935
"AT1G11280",8,7,17,9,16,20
"AT1G11310",309,162,889,577,343,1533
"AT1G11330",77,23,43,39,26,54
"AT1G11350",22,30,40,19,9,24
"AT1G11360",94,117,39,119,38,85
"AT1G11380",36,10,19,13,9,23
"AT1G11390",24,15,91,32,11,125
"AT1G11400",32,26,43,23,16,71
"AT1G11410",26,26,17,11,5,19
"AT1G11430",225,229,623,241,106,414
"AT1G11440",73,67,37,66,29,39
"AT1G11475",21,25,49,49,30,52
"AT1G11480",68,57,167,138,75,202
"AT1G11530",143,85,74,91,53,46
"AT1G11580",70,51,253,137,84,429
"AT1G11592",24,18,38,15,16,22
"AT1G11630",19,36,13,27,12,27
"AT1G11650",403,401,1806,543,269,2167
"AT1G11660",35,39,56,49,48,73
"AT1G11670",1,52,9,42,37,33
"AT1G11680",154,113,203,121,113,285
"AT1G11700",17,20,6,17,14,3
"AT1G11720",59,71,76,34,21,35
"AT1G11750",212,177,648,160,120,436
"AT1G11760",14,13,36,12,4,50
"AT1G11780",2,12,20,24,3,13
"AT1G11790",34,37,101,76,37,83
"AT1G11800",19,36,22,26,26,32
"AT1G11820",20,46,79,38,20,67
"AT1G11840",216,235,641,200,89,389
"AT1G11860",902,765,1395,489,223,815
"AT1G11870",24,39,111,31,21,104
"AT1G11880",12,17,27,11,5,34
"AT1G11890",88,61,135,87,84,153
"AT1G11905",26,22,16,9,13,24
"AT1G11910",795,655,705,694,351,760
"AT1G11930",76,82,102,112,34,124
"AT1G11940",11,20,8,8,7,10
"AT1G11960",50,39,94,79,57,153
"AT1G12000",92,118,136,340,156,271
"AT1G12020",15,26,63,31,14,28
"AT1G12040",0,36,2,24,18,6
"AT1G12050",106,91,174,73,23,158
"AT1G12060",14,15,26,8,5,17
"AT1G12090",2391,1355,6113,806,548,1157
"AT1G12110",123,96,126,194,116,271
"AT1G12120",66,64,124,75,60,92
"AT1G12140",81,85,138,106,50,309
"AT1G12200",9,40,31,13,37,55
"AT1G12220",21,22,19,30,23,34
"AT1G12230",79,76,210,106,47,109
"AT1G12240",164,133,401,180,60,420
"AT1G12250",103,94,114,93,34,73
"AT1G12270",63,62,138,99,30,169
"AT1G12310",21,37,57,50,14,125
"AT1G12320",34,33,16,38,23,20
"AT1G12330",20,65,63,39,9,34
"AT1G12350",26,48,27,55,43,43
"AT1G12360",87,76,121,137,94,227
"AT1G12390",17,22,25,8,8,42
"AT1G12400",15,29,21,21,23,21
"AT1G12410",280,211,383,258,97,380
"AT1G12420",32,42,15,38,26,22
"AT1G12430",28,135,28,37,71,29
"AT1G12440",79,120,253,99,71,253
"AT1G12450",12,21,16,7,20,12
"AT1G12460",2,4,20,8,9,19
"AT1G12470",72,60,103,64,57,113
"AT1G12480",2,10,45,9,8,34
"AT1G12500",83,125,124,101,118,227
"AT1G12520",100,81,202,113,61,191
"AT1G12530",93,88,28,88,15,50
"AT1G12550",22,8,29,2,7,20
"AT1G12580",36,22,47,60,24,82
"AT1G12640",26,17,71,65,57,122
"AT1G12650",21,9,19,29,17,24
"AT1G12680",71,41,38,60,39,56
"AT1G12710",32,15,33,23,10,25
"AT1G12730",26,14,53,14,4,23
"AT1G12750",40,16,61,38,3,52
"AT1G12760",140,84,112,132,89,207
